# schema	real-neo4j-runtime-recapture-audit-v1
# status	PASS
# executedAt	2026-08-23T00:48:24+07:00
# baseGitCommit	737c552c51ec342f95e650b52811ffbb0e3b0c66
# gitDirtyAtCapture	false
# neo4jKernel	2026.06.0
# edition	enterprise
# database	demo
# cypherComponent	5
# javaDriverDependency	5.21.0
# encodingProfile	canonical-v1
# combinedTests	7
# combinedFailures	0
# combinedErrors	0
# combinedSkipped	0
# combinedElapsed	PT1M49S
id	status	observed	evidenceTest
CY1_CY9	PASS	assumptions=9/9	Cypher5ValDialectRealNeo4jTest#selectedServerSatisfiesEveryRequiredDialectProbe
ADAPTER_ADEQUACY	PASS	observations=6;plans=2;labelMutation=KILLED	AdapterAdequacyCertificateRealNeo4jTest#certificateAndQueriesObserveOneNeo4jSnapshot
OCLVAL47	PASS	equivalent=47;allPass=19;mixed=28;t4Constructors=16/16	OclValRealNeo4jCoverageTest#allAdmittedConstructsAgreeWithUseOnRealNeo4j
VOID_CONTEXTS	PASS	cases=13	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
DUPLICATE_COLLECT	PASS	cases=1;formerUnexpectedExpression=NOT_REPRODUCED	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
TO_ONE_COLLECTION_VIEW	PASS	cases=3	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
PERSON_CASE	PASS	equivalent=10;missing=0;spurious=0;allPass=3;mixed=7	FamiliesToPersonsCaseStudyRealNeo4jTest#personCaseAgreesExactlyWithNativeUse
FAMILY_CASE	PASS	equivalent=10;missing=0;spurious=0;allPass=7;mixed=3	FamiliesToPersonsCaseStudyRealNeo4jTest#familyCaseAgreesExactlyWithNativeUse
NO_BLANK_NAMES	PASS	formerHeapFailure=NOT_REPRODUCED	FamiliesToPersonsCaseStudyRealNeo4jTest#personCaseAgreesExactlyWithNativeUse
# publicationGate	All runtime suites executed from clean commit 737c552c; manifests name that revision and canonical source hashes.
