rule_id,source_constructor,required_ast_kinds,forbidden_ast_kinds,max_copies_per_complex_child,observation_contract,proof_status
CQM-AST-001,VariablePlan,VARIABLE|WITH_CLAUSE,,1,variable binding is preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-002,LiteralPlan,LITERAL|PARAMETER,,1,typed literal or parameter value is preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-003,SetLiteralPlan,LIST_EXPRESSION|WITH_CLAUSE,,1,finite set elements are evaluated once and retain set observation,IMPLEMENTED_UNCERTIFIED
CQM-AST-004,NotPlan,UNARY_EXPRESSION,,1,validation Boolean negation is preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-005,BinaryPlan,BINARY_EXPRESSION,,1,typed binary operation and bottom policy are preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-006,AttributeAccessPlan,PATTERN|PROPERTY_ACCESS|COLLECT_SUBQUERY_EXPRESSION,,1,attribute slot lookup is model-scoped and typed,IMPLEMENTED_UNCERTIFIED
CQM-AST-007,NavigationAccessPlan,PATTERN|MATCH_CLAUSE|WHERE_CLAUSE,,1,navigation direction roles qualifiers and model scope are preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-008,MethodCallPlan,FUNCTION_INVOCATION|WITH_CLAUSE,,1,certified method observation is preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-009,CollectionOperationPlan,FUNCTION_INVOCATION|CASE_EXPRESSION|WITH_CLAUSE,,1,finite collection operation preserves bottom and set semantics,IMPLEMENTED_UNCERTIFIED
CQM-AST-010,IfPlan,CASE_EXPRESSION|WITH_CLAUSE,,1,only selected branch contributes its observation,IMPLEMENTED_UNCERTIFIED
CQM-AST-011,LetPlan,WITH_CLAUSE,,1,initializer is evaluated once under a fresh alias,IMPLEMENTED_UNCERTIFIED
CQM-AST-012,IteratorOperationPlan,LIST_COMPREHENSION|ITERABLE_PREDICATE|REDUCE_EXPRESSION|WITH_CLAUSE,,1,iterator scope and collection semantics are preserved,IMPLEMENTED_UNCERTIFIED
CQM-AST-013,ExistsSubqueryPlan,EXISTS_SUBQUERY_EXPRESSION|MATCH_CLAUSE|WHERE_CLAUSE,,1,exists is true exactly for a witness row,IMPLEMENTED_UNCERTIFIED
CQM-AST-014,NotExistsSubqueryPlan,EXISTS_SUBQUERY_EXPRESSION|MATCH_CLAUSE|WHERE_CLAUSE,,1,not-exists is the complement of the witness observation,IMPLEMENTED_UNCERTIFIED
CQM-AST-015,CountSubqueryComparisonPlan,FUNCTION_INVOCATION|MATCH_CLAUSE|WHERE_CLAUSE,,1,count comparison preserves multiplicity policy,IMPLEMENTED_UNCERTIFIED
CQM-AST-016,NavigationAggregationPlan,MATCH_CLAUSE|COLLECT_SUBQUERY_EXPRESSION|FUNCTION_INVOCATION,,1,navigation aggregation observation,EXCLUDED
CQM-AST-017,NavigationUniquenessPlan,MATCH_CLAUSE|LIST_COMPREHENSION|REDUCE_EXPRESSION|FUNCTION_INVOCATION,,1,projected values are unique under certified equality,IMPLEMENTED_UNCERTIFIED
