obligation,family,required_universal_statement,current_evidence,current_status,next_discharge
LR,local realization,Each of 26 reachable NVA constructors preserves concrete graph evaluation under its CQM lowering,spec_plan_sim_sound composes assumed local equations plus constructor catalog,CONDITIONAL,instantiate each constructorCase with concrete NVA and CQM evaluators
C,row and plan correspondence,C1-C6 establish environment parameter set and invariant-wrapper observations for every admitted graph,formal local lemmas and selected executable tests,CONDITIONAL,mechanize RowCorr WFScalar WFSet and wrapper equality
BR,boundary representation,BR1-BR10 commute bottom scalar entity coercion equality and set observations with the payload codec,formal equations plus codec/runtime examples,CONDITIONAL,define concrete CyVal fibres encode/decode and prove all ten commuting diagrams
CY,Cypher semantics,CY1-CY9 hold for every generated Raw AST on the selected Neo4j/Cypher profile,dialect probes and finite real-Neo4j differential matrix,RUNTIME_PROFILE,formalize selected Cypher evaluator or verify the backend subset
ParamCorr,parameter correspondence,Every referenced parameter has the exact typed value in reference and production plans,parameterized renderer checks and plan matrices,PARTIAL,make parameter allocation typed and prove constructor-wise lookup preservation
AliasFresh,alias freshness,Fresh allocation is capture-free and preserves every live interface alias,capture guard Lean theorem plus AST shape tests,PARTIAL,connect allocator implementation to scoped Lean syntax and prove freshness invariant
NoGhost,invariant result closure,Every returned useId denotes exactly one encoded source object and no non-source identifier is returned,formal C6 statement plus real-Neo4j fixtures,CONDITIONAL,derive from concrete wrapper evaluator GraphAdequate and object-id injectivity
GraphAdequate,object graph representation,R1-R7 hold for every valid model encoded by the production encoder,formal Theorem 0 under adequacy plus selected fixtures,CONDITIONAL,prove encoder establishes R1-R7 and codec injectivity for every supported UML value
Java16,production IR refinement,All 16 Java optimized constructors and payload fields simulate the normative NVA/reference-plan evaluator,16-row structural and executable payload matrices plus parametric Lean induction,PARTIAL,instantiate JavaIrRefinement.Algebra with concrete evaluators and prove all local cases
NVA26,specification plan refinement,All 26 NVA constructors simulate concrete CQM and reference Cypher execution,26-tag Lean induction and complete metamodel/rule catalog,PARTIAL,replace generic payload tree with typed NVA/CQM datatypes and discharge LR C BR CY cases
T6,end-to-end universality,For every admitted model expression and generated query returnedIds equals source violation IDs,pointwise Lean set lemma under agreement and injectivity,CONDITIONAL,compose the universal discharges above without abstract agreement premises
