invariant,ids,classification
Person::PositiveAge,doctor_bad;patient_bad;patient_bottom,NON_VACUOUS_MIXED
Person::NamePresent,doctor_bad;patient_bad,NON_VACUOUS_MIXED
Person::ActiveAdult,doctor_bad;nurse_bad;patient_bad;patient_bottom;patient_minor,NON_VACUOUS_MIXED
Person::ActivityDefined,patient_bottom,NON_VACUOUS_MIXED
Patient::CodePresent,patient_bad,NON_VACUOUS_MIXED
Patient::TemperatureBelowForty,patient_bad;patient_bottom,NON_VACUOUS_MIXED
Patient::WeightPositive,patient_bad;patient_bottom,NON_VACUOUS_MIXED
Patient::HasWard,patient_bad;patient_inactive_minor,NON_VACUOUS_MIXED
Patient::HasDoctor,patient_bad;patient_inactive_minor,NON_VACUOUS_MIXED
Patient::DoctorsAreClinicians,,ALL_PASS
Patient::DoctorsKnowPatient,,ALL_PASS
Patient::EncountersAttended,,ALL_PASS
Patient::ExactPatientType,,ALL_PASS
Person::DowncastPreservesPatientType,,ALL_PASS
Doctor::HasPatients,doctor_empty,NON_VACUOUS_MIXED
Doctor::AdultPatients,doctor_bad;doctor_ok,NON_VACUOUS_MIXED
Doctor::PatientCodesPresent,,ALL_PASS
Ward::HasPatients,ward_empty,NON_VACUOUS_MIXED
Ward::PatientsNamed,,ALL_PASS
Ward::ActivePatientExists,ward_b;ward_empty,NON_VACUOUS_MIXED
Ward::PatientPartition,ward_b,NON_VACUOUS_MIXED
Ward::CollectedNameCount,,ALL_PASS
Ward::NestedDoctorBacklinks,,ALL_PASS
Ward::IntersectionKeepsPatients,,ALL_PASS
Ward::UnionIsIdempotent,,ALL_PASS
Ward::AdultFilterIsSound,ward_b,NON_VACUOUS_MIXED
Ward::EmptyWardNaming,ward_b,NON_VACUOUS_MIXED
Encounter::AttendingBacklink,,ALL_PASS
Encounter::PatientBacklink,,ALL_PASS
Encounter::ClosedRequiresAdult,encounter_bottom;encounter_minor,NON_VACUOUS_MIXED
Patient::SetDeduplicates,,ALL_PASS
Patient::BagRetainsMultiplicity,patient_bad;patient_bottom;patient_inactive_minor;patient_minor;patient_ok,ALL_FAIL
Patient::CertifiedIntegerArithmetic,,ALL_PASS
Patient::CertifiedDivModAndSum,,ALL_PASS
Patient::CertifiedIntegerMinMax,,ALL_PASS
Patient::BooleanXorBottom,patient_bottom;patient_inactive_minor,NON_VACUOUS_MIXED
